flight_key,airline_id,airport_code_depart_id,airport_code_arrival_id,flight_duration,number_seats_total,number_of_stops,connection_flight,flight_number,datetime_scraped,number_seats_available,ticket_price,datetime_depart,datetime_arrival,id,name,code,full_name
"1001ANR2023-04-09 06:30:00AGP2023-04-09 09:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:41",10,179.99,"2023-04-09 06:30:00","2023-04-09 09:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:39:44",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:39:56",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:08",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:19",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:31",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:41",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-10 06:45:00AGP2023-04-10 09:50:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:53",6,259.99,"2023-04-10 06:45:00","2023-04-10 09:50:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:40:53",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:05",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
